,id,etyma_id,reflex_id,created_at,updated_at
0,1,2223,63117,2015-04-16 07:59:11,2015-04-16 07:59:11
1,2,2223,63118,2015-04-16 07:59:12,2015-04-16 07:59:12
2,3,2223,63119,2015-04-16 07:59:12,2015-04-16 07:59:12
3,4,2223,63120,2015-04-16 07:59:12,2015-04-16 07:59:12
4,5,2223,63121,2015-04-16 07:59:12,2015-04-16 07:59:12
5,6,2223,63122,2015-04-16 07:59:12,2015-04-16 07:59:12
6,7,2223,63123,2015-04-16 07:59:12,2015-04-16 07:59:12
7,8,2224,63124,2015-04-16 07:59:12,2015-04-16 07:59:12
8,9,2224,63125,2015-04-16 07:59:12,2015-04-16 07:59:12
9,10,2224,63126,2015-04-16 07:59:12,2015-04-16 07:59:12
10,11,2224,63127,2015-04-16 07:59:12,2015-04-16 07:59:12
11,12,2224,63128,2015-04-16 07:59:12,2015-04-16 07:59:12
12,13,2224,63129,2015-04-16 07:59:12,2015-04-16 07:59:12
13,14,2224,63130,2015-04-16 07:59:12,2015-04-16 07:59:12
14,15,2224,63131,2015-04-16 07:59:12,2015-04-16 07:59:12
15,16,2224,63132,2015-04-16 07:59:12,2015-04-16 07:59:12
16,17,2224,63133,2015-04-16 07:59:12,2015-04-16 07:59:12
17,18,2225,63134,2015-04-16 07:59:12,2015-04-16 07:59:12
18,19,2225,63135,2015-04-16 07:59:12,2015-04-16 07:59:12
19,20,2225,63136,2015-04-16 07:59:12,2015-04-16 07:59:12
20,21,2225,63137,2015-04-16 07:59:12,2015-04-16 07:59:12
21,22,2225,63138,2015-04-16 07:59:12,2015-04-16 07:59:12
22,23,2225,63139,2015-04-16 07:59:13,2015-04-16 07:59:13
23,24,2225,63140,2015-04-16 07:59:13,2015-04-16 07:59:13
24,25,2225,63141,2015-04-16 07:59:13,2015-04-16 07:59:13
25,26,2225,63142,2015-04-16 07:59:13,2015-04-16 07:59:13
26,27,2225,63143,2015-04-16 07:59:13,2015-04-16 07:59:13
27,28,2225,63144,2015-04-16 07:59:13,2015-04-16 07:59:13
28,29,2225,63145,2015-04-16 07:59:13,2015-04-16 07:59:13
29,30,2225,63146,2015-04-16 07:59:13,2015-04-16 07:59:13
30,31,2225,63147,2015-04-16 07:59:13,2015-04-16 07:59:13
31,32,2225,63148,2015-04-16 07:59:13,2015-04-16 07:59:13
32,33,2225,63149,2015-04-16 07:59:13,2015-04-16 07:59:13
33,34,2225,63150,2015-04-16 07:59:13,2015-04-16 07:59:13
34,35,2225,63151,2015-04-16 07:59:13,2015-04-16 07:59:13
35,36,2225,63152,2015-04-16 07:59:13,2015-04-16 07:59:13
36,37,2225,63153,2015-04-16 07:59:13,2015-04-16 07:59:13
37,38,2225,63154,2015-04-16 07:59:13,2015-04-16 07:59:13
38,39,2225,63155,2015-04-16 07:59:13,2015-04-16 07:59:13
39,40,2225,63156,2015-04-16 07:59:13,2015-04-16 07:59:13
40,41,2225,63157,2015-04-16 07:59:13,2015-04-16 07:59:13
41,42,2225,63158,2015-04-16 07:59:13,2015-04-16 07:59:13
42,43,2225,63159,2015-04-16 07:59:13,2015-04-16 07:59:13
43,44,2225,63160,2015-04-16 07:59:13,2015-04-16 07:59:13
44,45,2225,63161,2015-04-16 07:59:13,2015-04-16 07:59:13
45,46,2225,63162,2015-04-16 07:59:13,2015-04-16 07:59:13
46,47,2225,63163,2015-04-16 07:59:13,2015-04-16 07:59:13
47,48,2225,63164,2015-04-16 07:59:14,2015-04-16 07:59:14
48,49,2225,63165,2015-04-16 07:59:14,2015-04-16 07:59:14
49,50,2225,63166,2015-04-16 07:59:14,2015-04-16 07:59:14
50,51,2225,63167,2015-04-16 07:59:14,2015-04-16 07:59:14
51,52,2225,63168,2015-04-16 07:59:14,2015-04-16 07:59:14
52,53,2225,63169,2015-04-16 07:59:14,2015-04-16 07:59:14
53,54,2225,63170,2015-04-16 07:59:14,2015-04-16 07:59:14
54,55,2225,63171,2015-04-16 07:59:14,2015-04-16 07:59:14
55,56,2225,63172,2015-04-16 07:59:14,2015-04-16 07:59:14
56,57,2225,63173,2015-04-16 07:59:14,2015-04-16 07:59:14
57,58,2225,63174,2015-04-16 07:59:14,2015-04-16 07:59:14
58,59,2225,63175,2015-04-16 07:59:14,2015-04-16 07:59:14
59,60,2225,63176,2015-04-16 07:59:14,2015-04-16 07:59:14
60,61,2225,63177,2015-04-16 07:59:14,2015-04-16 07:59:14
61,62,2226,63178,2015-04-16 07:59:14,2015-04-16 07:59:14
62,63,2226,63179,2015-04-16 07:59:14,2015-04-16 07:59:14
63,64,2227,63180,2015-04-16 07:59:14,2015-04-16 07:59:14
64,65,2227,63181,2015-04-16 07:59:14,2015-04-16 07:59:14
65,66,2227,63182,2015-04-16 07:59:14,2015-04-16 07:59:14
66,67,2227,63183,2015-04-16 07:59:14,2015-04-16 07:59:14
67,68,2228,63184,2015-04-16 07:59:14,2015-04-16 07:59:14
68,69,2228,63185,2015-04-16 07:59:14,2015-04-16 07:59:14
69,70,2228,63186,2015-04-16 07:59:14,2015-04-16 07:59:14
70,71,2228,63187,2015-04-16 07:59:14,2015-04-16 07:59:14
71,72,2228,63188,2015-04-16 07:59:14,2015-04-16 07:59:14
72,73,2228,63189,2015-04-16 07:59:15,2015-04-16 07:59:15
73,74,2228,63190,2015-04-16 07:59:15,2015-04-16 07:59:15
74,75,2228,63191,2015-04-16 07:59:15,2015-04-16 07:59:15
75,76,2228,63192,2015-04-16 07:59:15,2015-04-16 07:59:15
76,77,2228,63193,2015-04-16 07:59:15,2015-04-16 07:59:15
77,78,2228,63194,2015-04-16 07:59:15,2015-04-16 07:59:15
78,79,2228,63195,2015-04-16 07:59:15,2015-04-16 07:59:15
79,80,2228,63196,2015-04-16 07:59:15,2015-04-16 07:59:15
80,81,2229,63197,2015-04-16 07:59:15,2015-04-16 07:59:15
81,82,2229,63198,2015-04-16 07:59:15,2015-04-16 07:59:15
82,83,2229,63199,2015-04-16 07:59:15,2015-04-16 07:59:15
83,84,2229,63200,2015-04-16 07:59:15,2015-04-16 07:59:15
84,85,2229,63201,2015-04-16 07:59:15,2015-04-16 07:59:15
85,86,2229,63202,2015-04-16 07:59:15,2015-04-16 07:59:15
86,87,2229,63203,2015-04-16 07:59:15,2015-04-16 07:59:15
87,88,2229,63204,2015-04-16 07:59:15,2015-04-16 07:59:15
88,89,2229,63205,2015-04-16 07:59:15,2015-04-16 07:59:15
