Root,Meaning,Closest Concepticon Match (unreliable),Suggested Match,AMB comments
ā,(an exclamation),AT,,
abʰ-,"swift, quick, abrupt","ERUPT, QUICKLY, SUIT",FAST,
1. ai,(an exclamation),AT,,
aḱru,tear(drop),,TEAR (OF EYE),
"āmer-, āmōr, āmr̥",day,DRY,"DAY (NOT NIGHT), DAY (24 HOURS)",
"ames-, or omes-","blackbird: <b>merl</b>, <b>ousel</b>","BLACKBOARD, MEAL, LOUSE","
BIRD",
ant-s,"brow, front, <b>anterior</b>","BROWN, FROST","EYEBROW,  FRONT (PART)",
"arōd-, arəd-",(type of waterbird),"OR, TULE","
BIRD",
"ati, ato-","over, beyond","BEND, OVEN",OVER THERE,
"10. au̯(e)-, au̯ē(i)-, u̯ē-","to <b>vent</b>, blow","VEST, TWO, FLOW","BLOW (OF WIND), BLOW (WITH MOUTH)",
bata-,"babble, murmur, meaningless stuttering","BUBBLE, MURDER",MUMBLE,
bʰar- : bʰor- : bʰr̥-,"<b>burr</b>, stubble; something jutting out","OAT, BURY, STUMBLE",HANG,
"2. bʰē̆, bʰō̆",(emphatic particle),,,
"bʰeg-, bʰeng-","to <b>bang</b>, break, smash","HANG, SPLASH, TWO, BEAK","BREAK (DESTROY OR GET DESTROYED), BREAK (CLEAVE), BREAK (BREAKING)",
1. bʰeidʰ-,"to force; advise, <b>confide</b>, encourage","FORGE, TWO, COURAGE","
TRUST (SOMEBODY)",
2. bʰel-,henbane,,PLANT (VEGETATION),
bʰeres-,"quick, <b>festinate</b>","OBSTINATE, QUICKLY",FAST,
4. bʰeug-,to enjoy,"TWO, JOY","DELIGHT, PLEASURE",
bʰləido-s,"pale, light","TIGHT, MALE",LIGHT (COLOR),
bʰorgʷo-s,"gruff, unfriendly",GULF,"FRIEND, NOT",these two concepticon ideas combined come close
1. bʰreǵ-,to <b>break</b>,"TWO, BEAK","BREAK (DESTROY OR GET DESTROYED), BREAK (CLEAVE), BREAK (BREAKING)",
bʰres-,"to <b>burst</b>, break","MUST, TWO, BEAK","BREAK (DESTROY OR GET DESTROYED), BREAK (CLEAVE), BREAK (BREAKING)",
bis-(t)li-,gall,GILL,"GALL BLADDER, BILE",
blat-,"to chat, prattle","WHAT, TWO, RATTLE",CHAT (WITH SOMEBODY),
blē-,to bleat,"BEAT, TWO","GOAT,  SHEEP, SOUND OR NOISE",type of sound of goat/sheep
"dāiu̯ēr, genitive daiu̯rés",brother-in-law,BROTHER-IN-LAW,BROTHER-IN-LAW (OF MAN),
*dəǵʰ-mó-,slanting,,SLANTED,
dəǵʰ-mó-s,slanting,,SLANTED,
"derə-, drā-",to work,"TWO, WOK",WORK (ACTIVITY),
"2. der-, reduplicated der-der-, dr̥d<sub>o</sub>r-, broken reduplication dor-d-, dr̥-d-","(onomatopoeic: to mutter, grumble)","MATTER, MUMBLE, TWO",MUMBLE,
?*dʰeh₂g/g̑-{1},"sharpen, hone","SHAPE, HONEY",SHARPEN (SOMETHING),
2. dʰel-,to light; shining,"TIGHT, STINKING, TWO","LIGHT (IGNITE), SHINE",
3. dʰel-,to tremble,"TEMPLE, TWO",SHIVER,
"dʰerbʰ-, dʰerəbʰ-?",to work,"TWO, WOK",WORK (ACTIVITY),
dʰerebʰ-,to harden; coagulated,"TWO, GARDEN",CONGEAL (BLOOD),
dʰeregʰ-,bushy plants,"BUSH, PLATE",PLANT (VEGETATION),
dʰō-,to sharpen,"TWO, SHAPE",SHARPEN (SOMETHING),
2. dʰregʰ-,"to hurt, torment","FERMENT, TWO, HUNT",HURT (SOMEBODY),
dʰrono-,multicolored?,,COLORFUL,
"dʰu̯er-, dʰu̯erə-",to harm by trickery/deception,"ARM, TWO, BUY",DECEIVE,
dreǵʰ-,"vexed, displeased, unwilling",WEED,"MAKE ANGRY (ANNOY), HESITATE",
du̯ei-,to fear,"WEAR, TWO","FEAR (BE AFRAID), FEAR OR FRIGHTEN",
?*du̯er-{1},run/walk,,"RUN, WALK, WALK (MANNER)",
1. edʰ-,"tip, point","HIP, JOINT","TIP (OF OBJECT), POINT (POINTED END)",
eg-,lack (of something),"OR, BACK","
LACK (NOT HAVE)",
"eʰem, eʰeu, eʰo",<b>aha</b>! <b>oho</b>! (exclamation),"WHO, AWE",,
2. ē̆i,O (vocative particle),GO,,
2. el-,"to lie, recline","LIKE, TWO","LIE DOWN, LIE (REST)",
"eneḱ-, neḱ-, enḱ-, n̥ḱ-","to reach, obtain","PREACH, TWO, CONTAIN",GET,
"enos-, or onos-","<b>onus</b>, burden","BORDER, ANUS",LOAD,
"2. ē, ō",oh (vocative interjection),OR,,
epero-,wild boar,"WIND, BOAT",WILD BOAR,
epʰ-,to cook,"LOOK, TWO",COOK (SOMETHING),
"4. er-, er-t-, er-u̯-",<b>earth</b>,MARSH,"
EARTH (SOIL)",
1. ereu-,"to ask, seek","WEEK, MASK, TWO","ASK (INQUIRE), LOOK FOR",
eti,"out, beyond, etc.","OAT, PET, BEND",OVER THERE,
ētro-,"quick, swift, hurried","SUIT, QUICKLY","FAST, HURRY",
"gag-, gōg-",something round/lumpy,,"
ROUND",
gan(dʰ)-,vessel,WEASEL,"POT, PITCHER",
gang-,"to mock, scorn","ACORN, TWO, LOCK",MAKE ANGRY (ANNOY),
"ǵēi-, ǵī-",to sprout,"TWO, TROUT",SPROUT (VERB),
"2. gel-, and gʷel-","to <b>glut</b>, devour, envelop","ENVELOPE, TWO, GLUE","CONSUME (DRINK OR EAT), EAT",
"geng-, gong-",lump,JUMP,"BALL, BUNDLE",
"gʰe-, gʰo-",(enclitic (emphatic?) particle),,,
gʰelǵʰ-,gland,LAND,BODY PART,
"ǵʰerdʰ-, and gʰerdʰ-","to <b>gird</b>, enclose, encompass","COMPASS, GIRL, TWO",ENCIRCLE,
"5. ǵʰer-, ǵʰor-nā",bowels,BOWL,GUTS,
gʰom-,stall,SMALL,"
STABLE",
gʰou-ro-s,"frightened, frightening",FRIGHTEN,FEAR OR FRIGHTEN,
gʰreib-,"to <b>grip</b>, grab","GREY, TWO, CRAB","PICK UP, HOLD, HOLD OR TAKE",
ǵʰu̯en-,to sound,"WOUND, TWO","RING (MAKE SOUND), SOUND OR NOISE, SOUND (OF INSTRUMENT OR VOICE)",
ǵ(<sub>e</sub>)lōu̯-,sister-in-law,SISTER-IN-LAW,"SISTER-IN-LAW, SISTER-IN-LAW (HUSBAND'S OLDER SISTER), SISTER-IN-LAW (HUSBAND'S YOUNGER SISTER)",
?*g(ʷ)ʰer-{1},to drip,"DROP, TWO","
DRIP (EMIT LIQUID)",
"gʷii̯ā, gʷii̯ós",sinew,SNOW,TENDON,
ʰā̆,(surprise: <b>ha</b>! oh!),"SURPRISED, HE, OR",,
*h₃erg-{1},to perish,"PENIS, TWO","
DIE",
*h₂teu̯g/g̑-{1},Spread terror,"SPEAK, MIRROR",FRIGHTEN,
*h₂u̯ei̯-,run/walk,,"RUN, WALK, WALK (MANNER)",
i̯ēk- : i̯ək-,to heal,"MEAL, TWO",CURE,
"i̯énəter-, weak case i̯<sub>e</sub>nətr-, i̯n̥̄tr-",sister-in-law,SISTER-IN-LAW,"SISTER-IN-LAW (OLDER BROTHER'S WIFE), SISTER-IN-LAW",
i̯et-,"to set out, strive for","OAT, FAR, PET, STRIKE, TWO",TRY,
?2.*i̯eu̯-{1},(sich) fernhalten; weichen,RICH,"AVOID, SURRENDER, BUDGE (ONESELF)",
i̯euǵ-,"to excite, arouse; unsteady","INSTEAD, TWO, LOUSE, EXCITED","EXCITED, SWAY",
2. i̯ū̆,<b>yowl</b> (exclamation of joy/wonder),"OR, FOWL",,
kai-ko-,"one-eyed, <b>cyclopean</b>",,"BLIND, EYE",
kāk-,to croak; cracking sound,"WOUND, TWO, CLOAK",SOUND OR NOISE,
kapro-,he-goat,HE-GOAT,HE-GOAT,
"ḱas-, ḱas-no-",gray,GREY,GREY,
kau-,"to humble, discourage","TWO, MUMBLE","INSULT, DEPRESSED, MAKE ANGRY (ANNOY)","more like 'make depressed', to 'insult as to make depressed'"
kaus-,to draw lots,"TWO, LOTUS, DRAG","GOOD LUCK, BAD LUCK, TRY",really 'to try to do something whose outcome is uncertain and due to chance'
ked-,to smoke,"SPOKE, TWO",SMOKE (EMIT SMOKE),
?2.*k̑ei̯-{1},fallen [UNKNOWN],FALCON,"FALL, TUMBLE (FALL DOWN)",
ḱē(i)- : ḱō(i)- : ḱə(i)-,"to <b>hone</b>, whet, sharpen","WHAT, TWO, SHAPE, HONEY",SHARPEN (SOMETHING),
ḱekʷ-,"to defecate; dung, excrement","LUNG, TWO, DEFECT, EXCITEMENT","DUNG (ANIMAL FAECES), FAECES (EXCREMENT), SHIT (DEFECATE)",
"7. kel-, kol-, k<sub>o</sub>l-","<b>calix</b>, <b>chalice</b>, goblet, beaker","CALF, TABLET, BAKER",CUP,
*k̑en-{1},rise,WISE,RISE (ONESELF),
1. kenk-,"to bind, gird","GIRL, TWO, BEND",ENCIRCLE,
"ḱerbero-, and kerbero-","checkered, variegated",,COLORFUL,
1. kerd-,to gird,"GIRL, TWO",ENCIRCLE,
"ḱerə-, ḱrā-",to cook,"LOOK, TWO",COOK (SOMETHING),
"ḱīō̆n-, ḱīsō̆n-?",pillar,COLLAR,COLUMN,
klau-,to weep,"WEEK, TWO","
CRY",
kleiḱ-,to press/squeeze (painfully),"PAINFUL, TWO",SQUEEZE,
"ko ko, kak(k)-, ku(r)kur-",(onomatopoeic: sound of cock/hen),"WOUND, OR",,
"konəmo-, knāmo-, or k<sub>e</sub>nəmo-",shinbone,SHIN, BONE,"concept not in Concepticon, but closely related terms given"
kopso-,blackbird,BLACKBOARD,BIRD,
"ḱrebʰ-, ḱrō̆bʰ-, ḱrembʰ-",to entrust,TWO,"TRUST (SOMEBODY), AUTHORITY",
"1. kreg-, and kerg-?",to torment,"FERMENT, TWO",HURT (SOMEBODY),
"2. krek-, kr̥k-","<b>roe</b>, fish/frog spawn","RYE, LAWN","SPAWN (VERB), FISH, FROG",
?*k̑sed-{1},'zerlegen' → 'auftischen' [UNKNOWN],I,"TEAR (SHRED), BREAK (DESTROY OR GET DESTROYED)",
k<sub>e</sub>nəkó-,"golden, <b>honey</b>-colored",GOLD,"
YELLOW",
ḱþei-,to settle,"NETTLE, TWO","DWELL (LIVE, RESIDE)",
"kþē(i)-, kþə(i)-","to gain, acquire, possess","ACQUIT, AGAIN, TWO","ACQUIRE (SOMETHING), OWN, GET",
ku̯ak-,"(onomatopoeic: to <b>quack</b>, croak)","CLOAK, TWO, BACK",SOUND OR NOISE,
"ḱu̯ek-, nasalized ḱu̯enk- : ḱuk-",to gape,"TWO, GAME","OPEN,  GAP (DISTANCE)",
ḱu̯el-,muddy,MIDDAY,"MUD, DIRTY",
2. ku̯elp-,"to curve, vault","TWO, CARVE, FAULT",CURVED,
ḱu̯en-,to celebrate; saint,"SHIN, TWO","REJOICE, HOLY",
"ḱu̯endʰ-ro-, -no-",(type of plant),"OR, PLAN, TULE","
PLANT (VEGETATION)",
2. kʷe-,(indefinite/interrogative pronoun),,"SOMEONE, WHO, WHO OR WHAT, WHAT",
kʷene,"(particle: uncertainty, generalization)",,,
?*k(ʷ)h₂eg̑-{1},consume,CONJURE,CONSUME (DRINK OR EAT),
"kʷo-, kʷe-, fem. kʷā, kʷei-",(indefinite/interrogative pronoun),,"SOMEONE, WHO, WHO OR WHAT, WHAT",
lai-,"fat, lard","YARD, RAT","FAT (OF MEAT AND FOOD), FAT (ORGANIC SUBSTANCE)",
"1. leig-, and leik-, better oleig-, oleik-","needy, miserable",READY,"MISERY, SAD, LACK (NOT HAVE)",
1. leik-,to offer for sale,"MALE, OFFEND, TWO, FAR",SELL,
1. leit-,"to <b>loathe</b>, detest, abhor; violate","DETECT, OATH, VILLAGE, ANCHOR, TWO",HATE,
1. lēk- : lək-,tendril; trap,STRAP,"SNARE (TRAP), TRAP (CATCH)",
leuǵ-,to break,"TWO, BEAK","BREAK (DESTROY OR GET DESTROYED), BREAK (CLEAVE), BREAK (BREAKING)",
1. leugʰ-,"to <b>lie</b>, <b>belie</b>, prevaricate","LIKE, TWO, BELCH",LIE (MISLEAD),
2. mā-,"timely, opportune",TIME,GOOD LUCK,no entry (or combo) that really captures idea
"2. mai-, moi-?","to smudge, stain","STRAIN, TWO, SLEDGE",SMEAR,
mā̆k(en)-,poppy,PUPPY,FLOWER,
makʰ-o-s,"bold, wild, frisky, unbridled","WIND, COLD, FRIDAY","UNTAMED OR WILD, DARE",
"maḱo-, or moḱ-o-","fly, gnat","FRY, GOAT",FLY (INSECT),
mand-,pen/hurdle of plaited rods/twigs,"OR, PLATE","BUNDLE, PLAIT OR BRAID OR WEAVE, BRANCH OR TWIG",
mē̆gʰ-,"friendly, well-disposed",FRIEND,"FRIEND, 	KIND",
meiǵʰ-,"to <b>micturate</b>, urinate","TWO, URINE",URINE,
mei-gʷ-,to (ex)change,"TWO, EXCHANGE","EXCHANGE, CHANGE (SOMETHING)",
1. meit(ʰ)-,place to stay,"STAR, TWO, PLATE",HOUSE,
2. mei-t(ʰ)-,"to <b>commute</b>, (ex)change","TWO, EXCHANGE, COMPUTER","EXCHANGE, CHANGE (SOMETHING)",
mek-,(onomatopoeic: to bleat),"BEAT, TWO","GOAT,  SHEEP, SOUND OR NOISE",type of sound of goat/sheep
membʰ-,to reproach,"APPROACH, TWO","SCOLD, CONDEMN",
mendʰ-,to direct attention to; vivacious,"DETECT, ATTENTIVE, TWO","POINT (WITH FINGER), SHOW",
2. mer-,"to flicker, shimmer","SUMMER, TWO","FLASH (VERB), TWINKLE",
"2. merk-, mork-","vexed, sullen","WEED, BULLET","MAKE ANGRY (ANNOY), 	SAD",
?*mi̯ek̑s-{1},to settle (at/on/in),"NETTLE, TWO","DWELL (LIVE, RESIDE), ARRIVE",
"mormor-, murmur-",to <b>murmur</b> (dully),"TWO, DULL, MURDER",MUMBLE,
mormo(ro)-,"fear, dread, horror","WEAR, TREAD, BORROW",FEAR (FRIGHT),
moro-,"<b>murrey</b>, <b>mulberry</b>, blackberry",TURKEY,BERRY,
mut-o-s,"trimmed, stunted, circumcised, <b>mutilated</b>",SLANTED,CUT,
"n̥dʰos, n̥dʰeri",<b>under</b>,UDDER,BELOW OR UNDER,
1. nebʰ-,to burst,"MUST, TWO",EXPLODE,
"1. nei-, neiə- : nī-",to lead,"LOAD, TWO",LEAD (GUIDE),
2. ner-,"below, under","BELCH, UDDER",BELOW OR UNDER,
"nōt-, nət-","rump, <b>nates</b>, backside","RUM, FATE",BUTTOCKS,
2. ō,<b>O</b> (vocative particle),GO,,
"ō̆d(e)go-, or ō̆d(e)gʷo-","stem, stalk","STEP, TALK",PLANT STEM,
oi-,(pronoun stem),STEP,,
oiu̯ā,(vocative particle),,,
ok-,to consider,TWO,THINK (REFLECT),
ōḱú-s,quick(ly),QUICKLY,FAST,
ongʷ-,to <b>anoint</b>,"AMOUNT, TWO","OIL (ORGANIC SUBSTANCE), SMEAR",
"oreu̯-, <sub>e</sub>reu-",entrails,,GUTS,
pā̆n-,"<b>pane</b>, <b>panel</b>, woven fabric","OVEN, PINE, PINE","
CLOTH",
