,web_root,root,abbr,reflex,meaning,notes,A's comments,F translated,G translated
0,k̂rūs-,k̑rūs-,arm.,srun-k',"Schienbein, Wade","\*k̂rūs-ni-\ Plural (Genitiv \srvanc̣\, \sruni-c̣\)",,"Shin, calf","*k̂rūs-ni- Plural (Genitive \srvanc̣\, \sruni-c̣\)"
1,k̂rūs-,k̑rūs-,lat.,"crūs, -ris","Unterschenkel, Bein",n.,,"Lower leg, leg",n. [UNKNOWN]
,,,,,,,,,
0,k̂sā-,k̑sā-,ai.,kṣā́yati,brennt,,,burns,
1,k̂sā-,k̑sā-,ai.,kṣātí-,Glut,feminin(um),,Embers,feminine (noun)
2,k̂sā-,k̑sā-,ai.,kṣāmá-,"versengt, ausgedörrt, vertrocknet",,,"scorched, arid, dried up",
3,k̂sā-,k̑sā-,ai.,kṣārá-,"brennend, ätzend",,,"burning, corrosive",
4,k̂sā-,k̑sā-,ai.,kṣāpáyati,macht brennen,Kausativum,,makes burn,Causative
5,k̂sā-,k̑sā-,ai.,hitzig sein,to burn,\= ps-,,brennen,\= ps-
6,k̂sā-,k̑sā-,ai.,kṣāmá-,to burn,zu kṣāmá- wohl arm.,,brennen,to kṣāmá- probably poor.
7,k̂sā-,k̑sā-,arm.,c̣amak',trocken,die arm. Worte weisen auf k̂s-,,dry,the poor words point to k̂s-
,k̂sā-,k̑sā-,arm.,c̣av,Schmerz,"perhaps to \k̑sāp-\ with ""p""",,Pain,"perhaps to \k̑sāp-\ with ""p"" [UNKNOWN]"
,k̂sā-,k̑sā-,arm.,c̣asnum,zürne,"perhaps to \k̑sāp-\ with ""p""; aor. \c̣aseay\ (`*hitzig sein'; \s\ = \ps\-)",,be angry,"perhaps to \k̑sāp-\ with ""p""; aor. \c̣aseay\ (`*to be heated'; \s\ = \ps\-)"
0,"kseip-, kseib-","kseip-, kseib-",ai.,kṣipáti,"wirft, schleudert",,,"throws, hurls",
1,"kseip-, kseib-","kseip-, kseib-",ai.,kṣēpáyati,causes to throw,Kausativum,,verursacht zu werfen,Causative
,"kseip-, kseib-","kseip-, kseib-",ai.,kṣiprá-ḥ,schnell,,,fast/quick,
2,"kseip-, kseib-","kseip-, kseib-",aksl.,"ošiba-jǫ, -ti",sich abwenden,mit Media,,to turn away,with Media
,,,,,,,,,
4,"kseip-, kseib-","kseip-, kseib-",russ.,šibátь,werfen,mit Media,,throw,with Media
5,"kseip-, kseib-","kseip-, kseib-",russ.,šíbkĳ,schnell,mit Media,,fast/quick,with Media
6,"kseip-, kseib-","kseip-, kseib-",russ.,ošibátь,abschlagen,mit Media,,to reject or decline,with Media
7,"kseip-, kseib-","kseip-, kseib-",russ.,ošibátьsja,sich irren,mit Media,,to be mistaken,with Media
0,kseubh-,kseubh-,ai.,kṣúbhyati,"schwankt, zittert",,,"sways, trembles",
1,kseubh-,kseubh-,ai.,kṣṓbhatē,"schwankt, zittert",,,"sways, trembles",
2,kseubh-,kseubh-,ai.,kṣubhnṓti,"schwankt, zittert",,,"sways, trembles",
3,kseubh-,kseubh-,ai.,kṣubhnā́ti,"schwankt, zittert",,,"sways, trembles",
4,kseubh-,kseubh-,ai.,kṣōbhayati,setzt in Bewegung,,,sets in motion,
5,kseubh-,kseubh-,ai.,kṣōbha-,"Schwanken, Erschütterung",m.,,"Swaying, shaking",m.
6,kseubh-,kseubh-,av.,xšaob-,in Aufregung geraten,,,to get excited,
7,kseubh-,kseubh-,av.,xšufsąn,in Aufregung geraten,,,to get excited,
8,kseubh-,kseubh-,npers.,ā-šuftan,in Bewegung versetzen,,,to set in motion,
9,kseubh-,kseubh-,npers.,ā-šoftan,in Bewegung versetzen,,,to set in motion,
10,kseubh-,kseubh-,npers.,ā-šōb,"Verwirrung, Tumult",,,"Confusion, uproar",
11,kseubh-,kseubh-,poln.,chybać,"schaukeln, hin und her bewegen",,,"swing, move back and forth",
12,kseubh-,kseubh-,poln.,chybki,"behend, rasch",,,"nimble, quickly",
13,kseubh-,kseubh-,klr.,chybáty,"zweifeln, unschlüssig sein",,,"doubting, being undecided",
14,kseubh-,kseubh-,klr.,chýba,"Mangel, Fehler",\*kṣūbā\,,"Deficiency, mistake",*kṣūbā [UNKNOWN]
0,kseud-,kseud-,ai.,kṣṓdati,"stampft, zermalmt'",,,"stomps, crushes",
1,kseud-,kseud-,ai.,kṣōda-,"Stoß, Stampfen, Zermalmen; Mehl, Pulver, Puder'",,,"Bump, stomp, crush; flour, powder, dust.",
2,kseud-,kseud-,ai.,kṣudrá-,"klein; niedrig, gemein'",Komp. \kṣṓdīyas-\,,"small; low, mean",Komp. \kṣṓdīyas-\ [UNKNOWN]
3,kseud-,kseud-,ai.,kṣudrá-,Stäubchen',n.,,Specks of dust,n. [UNKNOWN]
